iter	Logloss
0	0.6843929747
1	0.6771010876
2	0.6687745837
3	0.6623485724
4	0.6561765243
5	0.650196849
6	0.6428498072
7	0.6366530873
8	0.6292603722
9	0.6218982663
10	0.617132199
11	0.6102156871
12	0.6038949293
13	0.5967396608
14	0.5899895105
15	0.5851068615
16	0.5806002336
17	0.5752768439
18	0.5709160348
19	0.5664026459
20	0.5602300425
21	0.5539876926
22	0.5479242078
23	0.5437458134
24	0.5390198609
25	0.5342623417
26	0.5293532189
27	0.5255949721
28	0.5203507902
29	0.515917432
30	0.5115400547
31	0.5072432793
32	0.5028355851
33	0.4994706873
34	0.4955495224
35	0.4922166164
36	0.4881212087
37	0.4849846802
38	0.4818904767
39	0.4778760518
40	0.4736380104
41	0.4700543041
42	0.4662022866
43	0.4619071235
44	0.459091259
45	0.4558334246
46	0.4528813953
47	0.4495898098
48	0.4467419271
49	0.4424763525
50	0.4391638746
51	0.4365777897
52	0.4340745335
53	0.4316045651
54	0.4289830145
55	0.4259260449
56	0.4229676938
57	0.4195595161
58	0.415703055
59	0.4134545314
60	0.4112096164
61	0.4084177398
62	0.4054453649
63	0.4027558892
64	0.4001653719
65	0.3975873724
66	0.3955592465
67	0.3935455302
68	0.3911231679
69	0.3884519868
70	0.3863622179
71	0.3839656999
72	0.3810088029
73	0.3785554042
74	0.3767272234
75	0.3737623341
76	0.3713231041
77	0.3691568059
78	0.3660306895
79	0.3637193775
80	0.3611693512
81	0.359182462
82	0.3570860791
83	0.3545094153
84	0.3524501916
85	0.3497446925
86	0.3475129859
87	0.3452887083
88	0.343051741
89	0.3414515252
90	0.3394238957
91	0.3375921663
92	0.3362565882
93	0.3349379404
94	0.3336370512
95	0.3318227013
96	0.3305559286
97	0.3293051576
98	0.3271493307
99	0.3253712342
100	0.3241801433
101	0.3223330284
102	0.3204991759
103	0.3192569511
104	0.3179063633
105	0.3167885064
106	0.3151958283
107	0.3136154353
108	0.3119392211
109	0.3104750446
110	0.3088019711
111	0.3071519715
112	0.305706766
113	0.3047037916
114	0.3028877274
