iter	Passed	Remaining
0	63	63090
1	67	33572
2	71	23613
3	74	18618
4	78	15537
5	81	13500
6	84	12032
7	88	10975
8	91	10128
9	94	9341
10	95	8594
11	99	8167
12	102	7785
13	105	7461
14	108	7153
15	112	6902
16	113	6588
17	116	6374
18	120	6224
19	123	6063
20	127	5924
21	130	5822
22	132	5631
23	136	5535
24	138	5417
25	142	5337
26	145	5238
27	149	5176
28	153	5143
29	156	5069
30	160	5007
31	163	4942
32	167	4894
33	169	4801
34	172	4759
35	174	4659
36	176	4601
37	178	4507
38	180	4446
39	182	4391
40	186	4352
41	189	4314
42	192	4287
43	196	4266
44	197	4193
45	199	4131
46	201	4089
47	204	4053
48	208	4040
49	212	4037
50	215	4004
51	218	3984
52	220	3942
53	221	3888
54	225	3882
55	229	3862
56	232	3845
57	235	3828
58	239	3815
59	240	3767
60	242	3732
61	245	3709
62	247	3678
63	250	3663
64	253	3647
65	256	3635
66	258	3596
67	260	3565
68	265	3576
69	268	3563
70	270	3542
71	275	3544
72	279	3545
73	282	3533
74	283	3501
75	287	3492
76	290	3477
77	293	3473
78	296	3455
79	299	3443
80	302	3436
81	306	3427
82	309	3422
83	312	3407
84	316	3406
85	319	3394
86	322	3385
87	325	3377
88	328	3364
89	331	3347
90	333	3330
91	336	3325
92	338	3296
93	339	3269
94	341	3253
95	344	3248
96	346	3228
97	348	3205
98	351	3203
99	355	3202
100	357	3181
101	360	3174
102	364	3170
103	367	3166
104	371	3165
105	373	3150
106	376	3146
107	380	3144
108	384	3139
109	387	3135
110	390	3128
111	393	3121
112	396	3114
113	400	3108
114	403	3106
115	407	3102
116	409	3088
117	412	3084
118	415	3077
119	419	3075
120	423	3073
121	427	3073
122	430	3072
123	435	3074
124	437	3064
125	440	3055
126	443	3046
127	446	3044
128	450	3039
129	451	3024
130	456	3030
131	459	3018
132	461	3007
133	465	3005
134	467	2996
135	471	2992
136	474	2990
137	478	2986
138	481	2982
139	484	2977
140	486	2962
141	489	2956
142	491	2944
143	494	2939
144	497	2935
145	502	2937
146	503	2922
147	505	2908
148	508	2902
149	510	2894
150	513	2889
151	516	2879
152	519	2875
153	522	2871
154	523	2855
155	527	2853
156	531	2852
157	534	2849
158	537	2844
159	541	2843
160	545	2840
161	549	2840
162	553	2840
163	556	2835
164	559	2832
165	563	2831
166	567	2829
167	573	2839
168	598	2943
169	603	2948
170	609	2956
171	611	2942
172	612	2927
173	613	2914
174	615	2902
175	618	2895
176	622	2892
177	624	2883
178	625	2868
179	629	2867
180	631	2858
181	634	2853
182	638	2850
183	642	2847
184	645	2842
185	648	2836
186	650	2826
187	651	2813
188	654	2809
189	657	2803
190	660	2798
191	661	2785
192	664	2776
193	665	2766
194	668	2761
195	672	2756
196	673	2745
197	676	2739
198	679	2734
199	681	2725
200	682	2712
201	686	2711
202	687	2700
203	691	2697
204	694	2693
205	695	2682
206	699	2681
207	702	2676
208	705	2670
209	708	2664
210	711	2660
211	714	2657
212	717	2652
213	720	2646
214	723	2642
215	725	2632
